  82 23  3  3  3  2  3  3  3  3  0.108  0.163  3  3
  83 19  3  3  3  3  3  2  2  3  0.204  0.090  3  1
  84 12  5  5  5  5  2  1  1  1  0.194  0.270  5  4
  85  3  1  1  2  1  5  4  4  4  0.102  0.402  1  4
  86 21  1  1  1  1  5  4  4  4  0.028  0.397  1  5
  87  1  3  4  4  4  3  4  3  3  0.095  0.475  2  4
  88 23  4  4  4  4  2  2  2  2  0.226  0.105  4  2
  89 10  5  5  5  5  3  2  3  2  0.347  0.153  5  3
  90 13  5  5  5  5  4  4  5  5  0.191  0.406  5  5
  91  5  3  3  5  3  2  2  3  3  0.104  0.146  3  2
  92  3  5  3  3  5  2  2  2  2  0.289  0.035  5  1
  93 13  2  2  2  3  1  1  1  1  0.046  0.029  2  1
  94 16  1  1  1  1  3  3  2  2  0.046  0.187  1  5
  95  5  5  5  3  5  4  4  5  5  0.285  0.206  5  4
  96 15  5  5  5  5  1  1  1  1  0.133  0.072  5  1
  97 16  3  2  2  3  2  1  4  1  0.158  0.093  3  2
  98 12  3  3  3  3  3  3  3  3  0.130  0.232  3  3
  99  8  2  2  2  2  4  4  5  4  0.094  0.383  2  4
 100 14  1  1  1  1  5  5  5  5  0.052  0.377  2  5
 101  6  3  4  4  4  2  2  5  2  0.250  0.039  5  3
 102 22  4  4  4  4  2  3  2  2  0.296  0.196  4  3
 103 15  3  3  3  3  3  3  3  3  0.032  0.312  2  3
 104  4  5  5  5  5  3  3  5  5  0.236  0.213  5  3
 105 16  5  4  4  4  5  5  5  5  0.229  0.186  4  4
 106  9  5  5  5  5  1  1  1  1  0.155  0.136  5  1
 107 14  5  5  5  5  3  2  1  1  0.527  0.022  5  2
 108 14  4  4  4  4  2  3  3  3  0.373  0.043  4  3
 109 14  3  2  2  3  4  4  4  4  0.051  0.055  1  4
 110 21  4  4  4  4  2  2  3  2  0.230  0.357  4  3
 111 15  2  2  2  2  5  5  5  5  0.034  0.596  3  5
 112 19  4  4  4  4  5  4  4  4  0.223  0.277  4  4
 113 10  4  2  2  2  2  3  2  3  0.119  0.076  2  2
 114 24  5  5  5  2  2  1  1  1  0.194  0.047  4  1
 115 21  5  5  5  5  1  1  1  1  0.252  0.113  5  1
 116 20  4  4  4  4  1  1  1  1  0.150  0.028  3  1
 117 15  4  4  4  4  2  2  2  2  0.059  0.217  4  2
 118 10  3  4  3  4  1  1  1  1  0.143  0.045  3  1
 119 13  3  3  3  2  2  2  2  2  0.069  0.078  3  2
 120 11  5  5  5  5  1  1  1  1  0.224  0.024  4  1
 121 16  2  3  3  2  4  4  3  4  0.128  0.153  2  3
 122 18  4  4  4  4  5  5  5  4  0.119  0.176  3  2
 123 24  4  4  4  5  3  3  3  3  0.212  0.145  5  3
 124 23  5  5  5  5  1  1  1  1  0.292  0.076  5  1
 125 19  2  2  2  2  4  5  5  5  0.115  0.401  2  5
:
   1  8  2  2  1  3  3  3  3  3  0.192  0.227  2  3
   2  6  5  5  5  5  4  4  4  4  0.696  0.401  5  4
   3  7  1  1  2  1  4  4  4  4  0.156  0.305  1  4
   4  9  4  4  5  5  4  4  3  4  0.328  0.172  5  4
   5  6  4  4  4  4  2  2  2  2  0.457  0.123  4  2
   6 21  2  2  2  3  1  3  2  4  0.364  0.096  4  2
   7 25  4  3  3  1  5  5  5  5  0.201  0.490  5  5
   8 23  2  1  2  2  5  5  5  5  0.056  0.353  1  3
   9  8  5  5  3  5  1  1  1  2  0.217  0.089  3  1
  10 15  1  1  1  1  4  4  1  3  0.050  0.246  1  3
  11 23  3  3  3  3  3  3  3  3  0.184  0.385  4  5
  12 19  1  1  1  1  1  2  2  2  0.044  0.049  1  2
  13  1  2  2  2  2  2  2  2  1  0.129  0.077  4  2
  14  4  4  4  4  4  3  3  3  3  0.270  0.084  4  3
  15  4  5  5  5  5  1  1  1  1  0.505  0.020  5  1
  16 14  4  5  4  4  2  1  1  2  0.419  0.046  4  2
  17 17  4  2  2  4  2  1  1  1  0.051  0.012  2  1
  18 16  2  2  1  2  4  3  3  4  0.138  0.163  2  4
  19  5  3  3  3  3  3  2  1  3  0.337  0.034  3  2
  20  6  2  2  1  1  1  1  1  1  0.287  0.030  2  1
  21 22  5  5  5  5  1  1  1  1  0.218  0.009  5  1
  22 24  2  1  2  2  5  5  5  5  0.199  0.729  2  5
  23 10  3  4  5  2  4  5  5  3  0.544  0.216  3  4
  24  3  3  3  3  3  5  4  4  4  0.183  0.280  3  4
  25 23  1  2  1  1  4  4  4  4  0.111  0.372  2  4
  26 11  3  3  3  3  4  4  4  4  0.227  0.284  3  4
  27 14  5  4  5  5  1  3  2  1  0.518  0.055  5  3
  28  1  5  5  5  5  4  4  3  4  0.360  0.172  5  4
  29  8  1  1  2  1  5  5  5  5  0.171  0.694  1  5
  30 11  5  4  4  4  1  1  2  3  0.512  0.030  5  1
  31  4  2  2  2  2  4  4  4  4  0.074  0.122  2  4
  32 23  4  4  5  4  1  1  1  2  0.132  0.104  3  1
  33  1  1  1  1  1  1  1  1  2  0.036  0.076  1  1
  34 25  3  4  4  4  3  2  3  3  0.170  0.198  4  3
  35  3  5  5  5  5  2  2  2  1  0.564  0.089  5  2
  36  2  4  4  4  4  1  1  1  1  0.363  0.049  5  1
  37 21  5  5  5  5  2  1  3  1  0.333  0.121  3  3
  38  8  4  4  5  4  2  2  2  1  0.217  0.194  4  2
